Metaprotein,mp_id,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number
CO1A2_CYCDI Collagen alpha-2(I) chain (Fragments) OS=Cyclopes didactylus GN=COL1A2 PE=1 SV=1,472,Eukaryota,Metazoa,Chordata,Mammalia,Pilosa,unassigned,unassigned,unassigned,UniRef50_C0HJP3,|
CO1A2_TOXSP Collagen alpha-2(I) chain (Fragments) OS=Toxodon sp. GN=COL1A2 PE=1 SV=1,473,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_C0HJP6,|
CO3_MOUSE Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3,474,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01024,K03990|
CO3_RABIT Complement C3 alpha chain (Fragment) OS=Oryctolagus cuniculus GN=C3 PE=2 SV=1,475,Eukaryota,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,UniRef50_P12247,K03990|
CO4_RAT Complement C4 OS=Rattus norvegicus GN=C4 PE=1 SV=3,476,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,unassigned,unassigned,UniRef50_P01029,K03989|
HV309_HUMAN Immunoglobulin heavy variable 3-9 OS=Homo sapiens GN=IGHV3-9 PE=1 SV=2,477,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01782,|
CO4A1_MOUSE Collagen alpha-1(IV) chain OS=Mus musculus GN=Col4a1 PE=1 SV=4,478,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P29400,K06237|
CO4A2_MOUSE Collagen alpha-2(IV) chain OS=Mus musculus GN=Col4a2 PE=1 SV=4,479,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P08572,K06237|
DEF5_HUMAN Defensin-5 OS=Homo sapiens GN=DEFA5 PE=1 SV=1,480,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q01523,K05230|
COAX_NOCFA Type III pantothenate kinase OS=Nocardia farcinica (strain IFM 10152) GN=coaX PE=3 SV=1,481,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia farcinica,UniRef50_Q0S8D3,K03525|
COAX2_FRATH Type III pantothenate kinase 2 OS=Francisella tularensis subsp. holarctica (strain LVS) GN=coaX2 PE=3 SV=1,482,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis subsp. holarctica LVS,UniRef50_Q2A1V2,K03525|
COBT_CLOTE Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase OS=Clostridium tetani (strain Massachusetts / E88) GN=cobT PE=3 SV=1,483,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tetani,UniRef50_Q891S7,K00768|
CODY_CLOBA GTP-sensing transcriptional pleiotropic repressor CodY OS=Clostridium botulinum (strain Alaska E43 / Type E3) GN=codY PE=3 SV=1,484,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unassigned,UniRef50_P59386,K03706|
CODY_CLOTE GTP-sensing transcriptional pleiotropic repressor CodY OS=Clostridium tetani (strain Massachusetts / E88) GN=codY PE=3 SV=1,485,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unassigned,UniRef50_Q5L0N0,K03706|
CODY_STRMU GTP-sensing transcriptional pleiotropic repressor CodY OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) GN=codY PE=3 SV=1,486,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unassigned,UniRef50_Q9CJ45,K03706|
COF1_MOUSE Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3,487,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P18760,K05765|
COF1_PIG Cofilin-1 OS=Sus scrofa GN=CFL1 PE=1 SV=3,488,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P23528,K05765|
COF2_PIG Cofilin-2 OS=Sus scrofa GN=CFL2 PE=2 SV=4,489,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9Y281,K05765|
COIL_XENLA Coilin OS=Xenopus laevis GN=coil PE=2 SV=2,490,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,UniRef50_Q09003,K13150|
KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens GN=IGKV3-11 PE=1 SV=1,491,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01624,|
COL_ICTTR Colipase OS=Ictidomys tridecemlineatus GN=CLPS PE=2 SV=1,492,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,UniRef50_P02703,|
COMT_PIG Catechol O-methyltransferase (Fragment) OS=Sus scrofa GN=COMT PE=1 SV=1,493,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Suidae,Sus,Sus scrofa,UniRef50_Q99028,|
COPA_STAEQ Copper-exporting P-type ATPase A OS=Staphylococcus epidermidis (strain ATCC 35984 / RP62A) GN=copA PE=3 SV=1,494,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,UniRef50_O32220,K17686|
COR1A_RAT Coronin-1A OS=Rattus norvegicus GN=Coro1a PE=1 SV=3,495,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,unassigned,unassigned,UniRef50_P31146,K13882|
KV401_HUMAN Immunoglobulin kappa variable 4-1 OS=Homo sapiens GN=IGKV4-1 PE=1 SV=1,496,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P06312,|
REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens GN=REG3A PE=1 SV=1,497,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P25031,|
"COX41_PONPY Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Fragment) OS=Pongo pygmaeus GN=COX4I1 PE=3 SV=1",498,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,UniRef50_P13073,|
"COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2",499,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Symphalangus,Symphalangus syndactylus,UniRef50_P20674,|
"COXT_SOYBN Cytochrome c oxidase subunit 2, mitochondrial (Fragment) OS=Glycine max GN=COX2 PE=3 SV=1",500,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_P32646,|
COXX_POLNA Protoheme IX farnesyltransferase OS=Polaromonas naphthalenivorans (strain CJ2) GN=ctaB PE=3 SV=1,501,Bacteria,unassigned,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans,UniRef50_Q8Y2G4,K02301|
COXX_THET2 Protoheme IX farnesyltransferase OS=Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039) GN=ctaB PE=3 SV=1,502,Bacteria,unassigned,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,UniRef50_Q5SLI3,K02301|
CPI1_SOLTU Cysteine protease inhibitor 1 OS=Solanum tuberosum PE=1 SV=3,503,Eukaryota,Viridiplantae,Streptophyta,unassigned,Solanales,Solanaceae,Solanum,Solanum tuberosum,UniRef50_P20347,|
CPI5_SOLTU Cysteine protease inhibitor 5 (Fragment) OS=Solanum tuberosum PE=2 SV=1,504,Eukaryota,Viridiplantae,Streptophyta,unassigned,Solanales,Solanaceae,Solanum,Solanum tuberosum,UniRef50_O24387,|
CPNA2_CAEEL Copine family protein 2 OS=Caenorhabditis elegans GN=cpna-2 PE=2 SV=4,505,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis elegans,UniRef50_Q09221,|
CPNE3_HUMAN Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,506,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_Q9Z140,|
"CPSM_MOUSE Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2",507,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P31327,|K01948|
CRCB1_MYCTU Putative fluoride ion transporter CrcB 1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=crcB1 PE=1 SV=1,508,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,UniRef50_P63863,K06199|
OLFM4_HUMAN Olfactomedin-4 OS=Homo sapiens GN=OLFM4 PE=1 SV=1,509,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q6UX06,|
CRP_SHIFL cAMP-activated global transcriptional regulator CRP OS=Shigella flexneri GN=crp PE=3 SV=1,510,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella flexneri,UniRef50_P29281,K10914|
CRT_CLOAB Short-chain-enoyl-CoA hydratase OS=Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787) GN=crt PE=1 SV=1,511,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium acetobutylicum,UniRef50_P52046,K01715|
CRU1_SINAL Cruciferin (Fragments) OS=Sinapis alba PE=1 SV=1,512,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Sinapis,Sinapis alba,UniRef50_P83908,|
CRU2_BRANA Cruciferin BnC2 OS=Brassica napus GN=BnC2 PE=3 SV=2,513,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,unassigned,unassigned,UniRef50_P15455,|
CRU3_BRANA Cruciferin CRU1 OS=Brassica napus GN=CRU1 PE=3 SV=1,514,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,unassigned,unassigned,UniRef50_Q96318,|
CSBC_BACSU Probable metabolite transport protein CsbC OS=Bacillus subtilis (strain 168) GN=csbC PE=1 SV=3,515,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis subsp. subtilis str. 168,UniRef50_P46333,|
CSN4_CAEEL COP9 signalosome complex subunit 4 OS=Caenorhabditis elegans GN=csn-4 PE=1 SV=1,516,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis elegans,UniRef50_Q9N359,K12178|
CSN6_XENLA COP9 signalosome complex subunit 6 OS=Xenopus laevis GN=cops6 PE=2 SV=1,517,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,unassigned,UniRef50_Q07G98,K12179|
CSPA_YEREN Major cold shock protein (Fragment) OS=Yersinia enterocolitica GN=cspA PE=3 SV=1,518,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia enterocolitica,UniRef50_P32081,|
CSPC_ECOLI Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2,519,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P0A9Y8,K03704|
CSPLF_SORBI CASP-like protein 1U4 OS=Sorghum bicolor GN=Sb05g025810 PE=2 SV=1,520,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Sorghum,Sorghum bicolor,UniRef50_Q2R0D2,|
CSRN2_HUMAN Cysteine/serine-rich nuclear protein 2 OS=Homo sapiens GN=CSRNP2 PE=1 SV=1,521,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q8BGQ2,K17494|
CTL2_BOVIN Choline transporter-like protein 2 OS=Bos taurus GN=SLC44A2 PE=2 SV=1,522,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_Q8BY89,K15377|
CTP5B_RAT Contactin-associated protein like 5-2 OS=Rattus norvegicus GN=Cntnap5b PE=2 SV=1,523,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_Q99P47,|
CTR2_CANLF Chymotrypsinogen 2 OS=Canis lupus familiaris GN=CTRB1 PE=2 SV=1,524,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,UniRef50_P04813,K01310|
CTRA_BOVIN Chymotrypsinogen A OS=Bos taurus PE=1 SV=1,525,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_P00766,|
CTRB1_RAT Chymotrypsinogen B OS=Rattus norvegicus GN=Ctrb1 PE=1 SV=1,526,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,unassigned,unassigned,UniRef50_P07338,K01310|
MUC5A_HUMAN Mucin-5AC OS=Homo sapiens GN=MUC5AC PE=1 SV=4,527,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P98088,|
LV147_HUMAN Immunoglobulin lambda variable 1-47 OS=Homo sapiens GN=IGLV1-47 PE=1 SV=2,528,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01700,|
"CTVE_ASPTN ATP synthase subunit beta, mitochondrial OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) GN=ctvE PE=3 SV=2",529,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus terreus,UniRef50_Q0C9L8,|
CUCIN_ORYSJ Cupincin OS=Oryza sativa subsp. japonica GN=Os03g0793700 PE=1 SV=2,530,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa,UniRef50_B8AL97,|
CUCM1_CUCME Cucumisin OS=Cucumis melo PE=1 SV=1,531,Eukaryota,Viridiplantae,Streptophyta,unassigned,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis melo,UniRef50_Q39547,|
CUZD1_HUMAN CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1,532,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q86UP6,|
CUZD1_MOUSE CUB and zona pellucida-like domain-containing protein 1 OS=Mus musculus GN=Cuzd1 PE=1 SV=2,533,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P70412,|
CVCA_PEA Convicilin OS=Pisum sativum GN=CVCA PE=1 SV=1,534,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Pisum,Pisum sativum,UniRef50_P13915,|
CVCB_PEA Convicilin (Fragment) OS=Pisum sativum GN=CVCB PE=2 SV=2,535,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Pisum,Pisum sativum,UniRef50_P13919,|
CY24B_MOUSE Cytochrome b-245 heavy chain OS=Mus musculus GN=Cybb PE=1 SV=1,536,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P04839,|K08008|
CYB6_ANTFO Cytochrome b6 OS=Anthoceros formosae GN=petB PE=2 SV=1,537,Eukaryota,Viridiplantae,Streptophyta,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P05642,|
CYC_APTPA Cytochrome c OS=Aptenodytes patagonicus GN=CYC PE=1 SV=2,538,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P62894,|
CYC_ATESP Cytochrome c OS=Ateles sp. GN=CYCS PE=1 SV=3,539,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Atelidae,Ateles,Ateles sp.,UniRef50_P99999,|
CYC_PASSA Cytochrome c OS=Pastinaca sativa PE=1 SV=1,540,Eukaryota,Viridiplantae,Streptophyta,unassigned,Apiales,Apiaceae,Pastinaca,Pastinaca sativa,UniRef50_P00015,|
CYC_SAMNI Cytochrome c OS=Sambucus nigra PE=1 SV=1,541,Eukaryota,Viridiplantae,Streptophyta,unassigned,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,UniRef50_O23138,|
CYC_SCHGR Cytochrome c OS=Schistocerca gregaria PE=1 SV=2,542,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,UniRef50_P00040,|
CYDD_BACSU ATP-binding/permease protein CydD OS=Bacillus subtilis (strain 168) GN=cydD PE=3 SV=1,543,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis subsp. subtilis str. 168,UniRef50_P94367,K16012|
CYNS_ECO57 Cyanate hydratase OS=Escherichia coli O157:H7 GN=cynS PE=3 SV=1,544,Bacteria,unassigned,Proteobacteria,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P58704,K01725|
CYPH_CATRO Peptidyl-prolyl cis-trans isomerase OS=Catharanthus roseus GN=PCKR1 PE=1 SV=1,545,Eukaryota,Viridiplantae,Streptophyta,unassigned,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,UniRef50_P21569,|
CYSA_SYNE7 Sulfate/thiosulfate import ATP-binding protein CysA OS=Synechococcus elongatus (strain PCC 7942) GN=cysA PE=2 SV=1,546,Bacteria,unassigned,Cyanobacteria,unassigned,Chroococcales,unassigned,Synechococcus,Synechococcus elongatus,UniRef50_P14788,K02045|
CYSD_AKKM8 Sulfate adenylyltransferase subunit 2 OS=Akkermansia muciniphila (strain ATCC BAA-835 / Muc) GN=cysD PE=3 SV=1,547,Bacteria,unassigned,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila,UniRef50_Q9KP19,K00957|
CYSK_SALTY Cysteine synthase A OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=cysK PE=1 SV=2,548,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P45040,K01738|
HV459_HUMAN Immunoglobulin heavy variable 4-59 OS=Homo sapiens GN=IGHV4-59 PE=1 SV=2,549,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01825,|
DAPA_BRUME 4-hydroxy-tetrahydrodipicolinate synthase OS=Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094) GN=dapA PE=3 SV=2,550,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis,UniRef50_Q57E96,K01714|
DAPAT_AGARV LL-diaminopimelate aminotransferase OS=Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) GN=dapL PE=3 SV=1,551,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_O26158,K10206|
DAPB_STRTD 4-hydroxy-tetrahydrodipicolinate reductase OS=Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9) GN=dapB PE=3 SV=1,552,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,UniRef50_A8FEI3,K00215|
"DAPD_SHISS 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Shigella sonnei (strain Ss046) GN=dapD PE=3 SV=1",553,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P56220,K00674|
DAPDH_BACFN Meso-diaminopimelate D-dehydrogenase OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343) GN=ddh PE=1 SV=1,554,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,UniRef50_Q5L9Q6,K03340|
DBH_BACCA DNA-binding protein HU OS=Bacillus caldotenax GN=hup PE=3 SV=1,555,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus caldotenax,UniRef50_P0A3H0,|
DBH_CLOPA DNA-binding protein HU OS=Clostridium pasteurianum GN=hup PE=1 SV=1,556,Bacteria,unassigned,Firmicutes,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P05384,|
DBH_STAAM DNA-binding protein HU OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) GN=hup PE=1 SV=1,557,Bacteria,unassigned,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unassigned,UniRef50_P08821,K03530|
DBH_STRTR DNA-binding protein HU OS=Streptococcus thermophilus GN=hup PE=3 SV=1,558,Bacteria,unassigned,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unassigned,UniRef50_P96045,|
DBH1_BIFLO DNA-binding protein HB1 OS=Bifidobacterium longum (strain NCC 2705) GN=hup PE=1 SV=3,559,Bacteria,unassigned,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,UniRef50_P17615,K03530|
DBHA_ECOLW DNA-binding protein HU-alpha OS=Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / NCIMB 8666 / NRRL B-766 / W) GN=hupA PE=1 SV=1,560,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P52680,K05787|
DBHB_SHIFL DNA-binding protein HU-beta OS=Shigella flexneri GN=hupB PE=3 SV=1,561,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_Q9KV83,K03530|
DBP8_YEAST ATP-dependent RNA helicase DBP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP8 PE=1 SV=1,562,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,UniRef50_Q6C799,K14778|
DCEB_SHIFL Glutamate decarboxylase beta OS=Shigella flexneri GN=gadB PE=3 SV=1,563,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q54VQ5,K01580|
DCL1_CRYPA Dicer-like protein 1 OS=Cryphonectria parasitica GN=DCL-1 PE=3 SV=1,564,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Cryphonectria parasitica,UniRef50_Q2H0G2,|
DDX11_DANRE ATP-dependent DNA helicase DDX11 OS=Danio rerio GN=ddx11 PE=2 SV=1,565,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,UniRef50_F1R345,K11273|
DEF1_HUMAN Neutrophil defensin 1 OS=Homo sapiens GN=DEFA1 PE=1 SV=1,566,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_P59665,K05230|
DEF1_MACMU Neutrophil defensin 1 OS=Macaca mulatta PE=1 SV=1,567,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca mulatta,UniRef50_P60030,|
IC1_HUMAN Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2,568,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P05155,K04001|
DEGPL_CHLPN Probable periplasmic serine endoprotease DegP-like OS=Chlamydia pneumoniae GN=htrA PE=3 SV=1,569,Bacteria,unassigned,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae,UniRef50_P18584,K04771|
DEOB_SALTY Phosphopentomutase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=deoB PE=3 SV=1,570,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella sonnei,UniRef50_Q327L3,K01839|
DEOC_SALHS Deoxyribose-phosphate aldolase OS=Salmonella heidelberg (strain SL476) GN=deoC PE=3 SV=1,571,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_Q8Z0U3,K01619|
DEOC_VIBVU Deoxyribose-phosphate aldolase OS=Vibrio vulnificus (strain CMCP6) GN=deoC PE=3 SV=1,572,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,UniRef50_Q8ZIQ4,K01619|
DEOD_SHISS Purine nucleoside phosphorylase DeoD-type OS=Shigella sonnei (strain Ss046) GN=deoD PE=3 SV=1,573,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_Q9KPM0,K03784|
DER_BACV8 GTPase Der OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=der PE=3 SV=1,574,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned,UniRef50_Q8A135,K03977|
DESM_MOUSE Desmin OS=Mus musculus GN=Des PE=1 SV=3,575,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P14136,|K07610|
DGAL_ECOL6 D-galactose-binding periplasmic protein OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) GN=mglB PE=3 SV=1,576,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P23905,K10540|
DHE2_BACFR NAD-specific glutamate dehydrogenase OS=Bacteroides fragilis (strain YCH46) GN=gdhB PE=2 SV=2,577,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P24295,K00262|
DHE2_PEPAS NAD-specific glutamate dehydrogenase OS=Peptoniphilus asaccharolyticus PE=1 SV=1,578,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Peptoniphilus,Peptoniphilus asaccharolyticus,UniRef50_P28997,|
DHE3_THEMA Glutamate dehydrogenase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) GN=gdhA PE=1 SV=4,579,Bacteria,unassigned,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga maritima,UniRef50_P96110,K00261|
